"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag","city"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-17",2024,1,17,NA,-19.2,"",-23.5,"",-21.3,"",39.3,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-18",2024,1,18,NA,-17.9,"",-23.2,"",-20.6,"",38.6,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-19",2024,1,19,NA,-15.7,"",-25.7,"",-20.7,"",38.7,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-20",2024,1,20,NA,-12.5,"",-16.7,"",-14.6,"",32.6,"",0,"",NA,NA,NA,NA,0.6,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-21",2024,1,21,NA,-11.3,"",-13,"",-12.1,"",30.1,"",0,"",NA,NA,NA,NA,4.8,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-22",2024,1,22,NA,-10.8,"",-13.7,"",-12.3,"",30.3,"",0,"",NA,NA,NA,NA,0.4,"",NA,NA,18,"",37,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-23",2024,1,23,NA,-3.1,"",-12.8,"",-7.9,"",25.9,"",0,"",NA,NA,NA,NA,0.2,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-24",2024,1,24,NA,2.1,"",-10,"",-4,"",22,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-25",2024,1,25,NA,0,"",-9.6,"",-4.8,"",22.8,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-26",2024,1,26,NA,4.7,"",-8.7,"",-2,"",20,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-27",2024,1,27,NA,6,"",-7.9,"",-1,"",19,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-28",2024,1,28,NA,10,"",-3.2,"",3.4,"",14.6,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-29",2024,1,29,NA,6.8,"",-4.6,"",1.1,"",16.9,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-30",2024,1,30,NA,12.4,"",-0.9,"",5.8,"",12.2,"",0,"",NA,NA,NA,NA,0,"",NA,NA,31,"",45,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-01-31",2024,1,31,NA,7.7,"",-5.4,"",1.1,"",16.9,"",0,"",NA,NA,NA,NA,0,"",NA,NA,15,"",37,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-01",2024,2,1,NA,11.3,"",-2.6,"",4.4,"",13.6,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-02",2024,2,2,NA,6.4,"",-3.2,"",1.6,"",16.4,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-03",2024,2,3,NA,3.6,"",-6.9,"",-1.7,"",19.7,"",0,"",NA,NA,NA,NA,0,"",NA,NA,35,"",44,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-04",2024,2,4,NA,-6,"",-10.3,"",-8.2,"",26.2,"",0,"",NA,NA,NA,NA,1.5,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-05",2024,2,5,NA,-6.9,"",-9.3,"",-8.1,"",26.1,"",0,"",NA,NA,NA,NA,3.2,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-06",2024,2,6,NA,-4.8,"",-7.9,"",-6.4,"",24.4,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-07",2024,2,7,NA,-2.9,"",-5.9,"",-4.4,"",22.4,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-08",2024,2,8,NA,-2.9,"",-4.7,"",-3.8,"",21.8,"",0,"",NA,NA,NA,NA,1.5,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-09",2024,2,9,NA,-4,"",-11.9,"",-8,"",26,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-10",2024,2,10,NA,-0.6,"",-14.3,"",-7.5,"",25.5,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-11",2024,2,11,NA,4.3,"",-5.2,"",-0.4,"",18.4,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-12",2024,2,12,NA,1.9,"",-8.9,"",-3.5,"",21.5,"",0,"",NA,NA,NA,NA,0,"",NA,NA,31,"",35,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-13",2024,2,13,NA,-1.7,"",-6.1,"",-3.9,"",21.9,"",0,"",NA,NA,NA,NA,0,"",NA,NA,35,"",35,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-14",2024,2,14,NA,-6.1,"",-8.7,"",-7.4,"",25.4,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-15",2024,2,15,NA,-5.8,"",-12.7,"",-9.2,"",27.2,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-16",2024,2,16,NA,0.7,"",-15.3,"",-7.3,"",25.3,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-17",2024,2,17,NA,6,"",-10.2,"",-2.1,"",20.1,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-18",2024,2,18,NA,4.4,"",-12.4,"",-4,"",22,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-19",2024,2,19,NA,5.7,"",-12.8,"",-3.6,"",21.6,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-20",2024,2,20,NA,1.5,"",-9.3,"",-3.9,"",21.9,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-21",2024,2,21,NA,4.9,"",-9.5,"",-2.3,"",20.3,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-22",2024,2,22,NA,8.5,"",-2.6,"",3,"",15,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-23",2024,2,23,NA,11.2,"",-0.6,"",5.3,"",12.7,"",0,"",NA,NA,NA,NA,0,"",NA,NA,31,"",50,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-24",2024,2,24,NA,5.6,"",-3.4,"",1.1,"",16.9,"",0,"",NA,NA,NA,NA,0,"",NA,NA,35,"",43,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-25",2024,2,25,NA,-1.5,"",-10.5,"",-6,"",24,"",0,"",NA,NA,NA,NA,6.8,"",NA,NA,8,"",51,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-26",2024,2,26,NA,-10.4,"",-21.3,"",-15.8,"",33.8,"",0,"",NA,NA,NA,NA,6.8,"",NA,NA,5,"",50,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-27",2024,2,27,NA,-15.8,"",-23.5,"",-19.7,"",37.7,"",0,"",NA,NA,NA,NA,0.2,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-28",2024,2,28,NA,-13.8,"",-20.9,"",-17.4,"",35.4,"",0,"",NA,NA,NA,NA,0,"",NA,NA,16,"",33,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-02-29",2024,2,29,NA,-12.3,"",-18.6,"",-15.4,"",33.4,"",0,"",NA,NA,NA,NA,0,"",NA,NA,32,"",34,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-01",2024,3,1,NA,-12.3,"",-17.9,"",-15.1,"",33.1,"",0,"",NA,NA,NA,NA,0.2,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-02",2024,3,2,NA,-14.2,"",-16.8,"",-15.5,"",33.5,"",0,"",NA,NA,NA,NA,4.4,"",NA,NA,6,"",32,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-03",2024,3,3,NA,-15.6,"",-21.3,"",-18.4,"",36.4,"",0,"",NA,NA,NA,NA,0,"",NA,NA,33,"",32,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-04",2024,3,4,NA,-17.8,"",-24.5,"",-21.1,"",39.1,"",0,"",NA,NA,NA,NA,0.2,"",NA,NA,30,"",38,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-05",2024,3,5,NA,-16.6,"",-24.6,"",-20.6,"",38.6,"",0,"",NA,NA,NA,NA,1.1,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-06",2024,3,6,NA,-13.8,"",-27.2,"",-20.5,"",38.5,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-07",2024,3,7,NA,-0.9,"",-21.9,"",-11.4,"",29.4,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-08",2024,3,8,NA,5.4,"",-12.5,"",-3.6,"",21.6,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-09",2024,3,9,NA,8.2,"",-6,"",1.1,"",16.9,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-10",2024,3,10,NA,10.4,"",-2.3,"",4,"",14,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-11",2024,3,11,NA,8.3,"",-5.4,"",1.5,"",16.5,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-12",2024,3,12,NA,4.9,"",-2.7,"",1.1,"",16.9,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-13",2024,3,13,NA,7.6,"",-6.2,"",0.7,"",17.3,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-14",2024,3,14,NA,11.4,"",-3.5,"",4,"",14,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-15",2024,3,15,NA,10.6,"",4.5,"",7.5,"",10.5,"",0,"",NA,NA,NA,NA,0,"",NA,NA,33,"",34,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-16",2024,3,16,NA,9.8,"",1.8,"",5.8,"",12.2,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-17",2024,3,17,NA,14.5,"",0.5,"",7.5,"",10.5,"",0,"",NA,NA,NA,NA,0,"",NA,NA,17,"",35,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-18",2024,3,18,NA,16.2,"",3.4,"",9.8,"",8.2,"",0,"",NA,NA,NA,NA,0,"",NA,NA,32,"",34,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-19",2024,3,19,NA,3.4,"",-4.1,"",-0.3,"",18.3,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-20",2024,3,20,NA,-3.8,"",-7.3,"",-5.5,"",23.5,"",0,"",NA,NA,NA,NA,1.8,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-21",2024,3,21,NA,-2.6,"",-8.6,"",-5.6,"",23.6,"",0,"",NA,NA,NA,NA,2,"",NA,NA,35,"",31,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-22",2024,3,22,NA,-5.8,"",-11.1,"",-8.4,"",26.4,"",0,"",NA,NA,NA,NA,0.4,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-23",2024,3,23,NA,-4.2,"",-8.5,"",-6.3,"",24.3,"",0,"",NA,NA,NA,NA,0.4,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-24",2024,3,24,NA,-1.9,"",-6.7,"",-4.3,"",22.3,"",0,"",NA,NA,NA,NA,0,"",NA,NA,15,"",37,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-25",2024,3,25,NA,-2.5,"",-6.9,"",-4.7,"",22.7,"",0,"",NA,NA,NA,NA,0,"",NA,NA,16,"",41,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-26",2024,3,26,NA,0.6,"",-7.3,"",-3.3,"",21.3,"",0,"",NA,NA,NA,NA,0,"",NA,NA,17,"",34,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-27",2024,3,27,NA,11,"",-4.8,"",3.1,"",14.9,"",0,"",NA,NA,NA,NA,0,"",NA,NA,36,"",36,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-28",2024,3,28,NA,-1,"",-6.4,"",-3.7,"",21.7,"",0,"",NA,NA,NA,NA,2.6,"",NA,NA,3,"",33,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-29",2024,3,29,NA,-1.4,"",-8.4,"",-4.9,"",22.9,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-30",2024,3,30,NA,3.8,"",-10.3,"",-3.2,"",21.2,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-03-31",2024,3,31,NA,9.4,"",-6.5,"",1.5,"",16.5,"",0,"",NA,NA,NA,NA,0,"",NA,NA,20,"",40,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-04-01",2024,4,1,NA,12.8,"",1.1,"",7,"",11,"",0,"",NA,NA,NA,NA,0,"",NA,NA,32,"",43,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-04-02",2024,4,2,NA,19.7,"",0.2,"",9.9,"",8.1,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-04-03",2024,4,3,NA,10.2,"",2.1,"",6.2,"",11.8,"",0,"",NA,NA,NA,NA,0,"",NA,NA,33,"",54,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-04-04",2024,4,4,NA,3.8,"",-0.2,"",1.8,"",16.2,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-04-05",2024,4,5,NA,1.7,"",-1.2,"",0.3,"",17.7,"",0,"",NA,NA,NA,NA,3.8,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-04-06",2024,4,6,NA,4,"",-0.5,"",1.8,"",16.2,"",0,"",NA,NA,NA,NA,0.2,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-04-07",2024,4,7,NA,14,"",-1.9,"",6.1,"",11.9,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
-113.52,53.57,"EDMONTON BLATCHFORD",3012209,"2024-04-08",2024,4,8,NA,14.6,"",2,"",8.3,"",9.7,"",0,"",NA,NA,NA,NA,0,"",NA,NA,NA,"",NA,"","en_climate_daily_AB_3012209_2024_P1D.csv"
